numEntries=132;mcShape=39;lcShape=5;highestFreq=7;lowestFreq=1;numPopulated=65;numUnpopulated=63;popUnpopRatio=1.032;meanShape=66.636;meanFreq=1.031;sdShape=33.702;sdFreq=1.525
numEntries=140;mcShape=44;lcShape=5;highestFreq=8;lowestFreq=1;numPopulated=60;numUnpopulated=68;popUnpopRatio=0.882;meanShape=66.329;meanFreq=1.094;sdShape=35.180;sdFreq=1.720
numEntries=152;mcShape=94;lcShape=5;highestFreq=15;lowestFreq=1;numPopulated=55;numUnpopulated=73;popUnpopRatio=0.753;meanShape=69.480;meanFreq=1.188;sdShape=36.111;sdFreq=2.348
numEntries=141;mcShape=94;lcShape=5;highestFreq=12;lowestFreq=1;numPopulated=53;numUnpopulated=75;popUnpopRatio=0.707;meanShape=68.780;meanFreq=1.102;sdShape=35.967;sdFreq=2.057
numEntries=141;mcShape=94;lcShape=5;highestFreq=10;lowestFreq=1;numPopulated=52;numUnpopulated=76;popUnpopRatio=0.684;meanShape=69.206;meanFreq=1.102;sdShape=35.458;sdFreq=2.069
numEntries=162;mcShape=94;lcShape=5;highestFreq=19;lowestFreq=1;numPopulated=56;numUnpopulated=72;popUnpopRatio=0.778;meanShape=75.790;meanFreq=1.266;sdShape=37.585;sdFreq=2.551
numEntries=160;mcShape=94;lcShape=12;highestFreq=18;lowestFreq=1;numPopulated=51;numUnpopulated=77;popUnpopRatio=0.662;meanShape=74.425;meanFreq=1.250;sdShape=37.064;sdFreq=2.622
numEntries=166;mcShape=65;lcShape=9;highestFreq=15;lowestFreq=1;numPopulated=54;numUnpopulated=74;popUnpopRatio=0.730;meanShape=72.602;meanFreq=1.297;sdShape=36.236;sdFreq=2.587
numEntries=136;mcShape=65;lcShape=12;highestFreq=17;lowestFreq=1;numPopulated=48;numUnpopulated=80;popUnpopRatio=0.600;meanShape=72.684;meanFreq=1.063;sdShape=34.972;sdFreq=2.423
numEntries=142;mcShape=94;lcShape=0;highestFreq=12;lowestFreq=0;numPopulated=50;numUnpopulated=78;popUnpopRatio=0.641;meanShape=71.303;meanFreq=1.109;sdShape=34.479;sdFreq=2.278
numEntries=132;mcShape=94;lcShape=0;highestFreq=18;lowestFreq=0;numPopulated=46;numUnpopulated=82;popUnpopRatio=0.561;meanShape=72.167;meanFreq=1.031;sdShape=34.755;sdFreq=2.443
numEntries=134;mcShape=94;lcShape=0;highestFreq=16;lowestFreq=0;numPopulated=44;numUnpopulated=84;popUnpopRatio=0.524;meanShape=74.866;meanFreq=1.047;sdShape=35.316;sdFreq=2.443
numEntries=100;mcShape=94;lcShape=0;highestFreq=16;lowestFreq=0;numPopulated=46;numUnpopulated=82;popUnpopRatio=0.561;meanShape=74.520;meanFreq=0.781;sdShape=36.509;sdFreq=1.871
numEntries=80;mcShape=71;lcShape=0;highestFreq=9;lowestFreq=0;numPopulated=39;numUnpopulated=89;popUnpopRatio=0.438;meanShape=76.525;meanFreq=0.625;sdShape=34.429;sdFreq=1.364
numEntries=83;mcShape=94;lcShape=0;highestFreq=8;lowestFreq=0;numPopulated=35;numUnpopulated=93;popUnpopRatio=0.376;meanShape=81.470;meanFreq=0.648;sdShape=33.872;sdFreq=1.508
numEntries=83;mcShape=94;lcShape=0;highestFreq=7;lowestFreq=0;numPopulated=38;numUnpopulated=90;popUnpopRatio=0.422;meanShape=80.277;meanFreq=0.648;sdShape=36.186;sdFreq=1.390
numEntries=69;mcShape=73;lcShape=0;highestFreq=6;lowestFreq=0;numPopulated=29;numUnpopulated=99;popUnpopRatio=0.293;meanShape=78.478;meanFreq=0.539;sdShape=36.602;sdFreq=1.328
numEntries=75;mcShape=94;lcShape=0;highestFreq=8;lowestFreq=0;numPopulated=30;numUnpopulated=98;popUnpopRatio=0.306;meanShape=80.120;meanFreq=0.586;sdShape=35.870;sdFreq=1.444
numEntries=75;mcShape=113;lcShape=0;highestFreq=9;lowestFreq=0;numPopulated=31;numUnpopulated=97;popUnpopRatio=0.320;meanShape=78.680;meanFreq=0.586;sdShape=35.066;sdFreq=1.498
numEntries=56;mcShape=94;lcShape=0;highestFreq=6;lowestFreq=0;numPopulated=29;numUnpopulated=99;popUnpopRatio=0.293;meanShape=74.875;meanFreq=0.438;sdShape=35.286;sdFreq=1.006
numEntries=53;mcShape=113;lcShape=0;highestFreq=6;lowestFreq=0;numPopulated=28;numUnpopulated=100;popUnpopRatio=0.280;meanShape=81.245;meanFreq=0.414;sdShape=37.758;sdFreq=1.012
numEntries=56;mcShape=94;lcShape=0;highestFreq=6;lowestFreq=0;numPopulated=28;numUnpopulated=100;popUnpopRatio=0.280;meanShape=75.875;meanFreq=0.438;sdShape=35.844;sdFreq=1.095
